n = 28
m = 5
s[0] = 0
s[1] = 0
s[2] = 1
s[3] = 1
s[4] = 1
s[5] = 1
s[6] = 0
s[7] = 1
s[8] = 1
s[9] = 0
s[10] = 0
s[11] = 1
s[12] = 1
s[13] = 0
s[14] = 0
s[15] = 0
s[16] = 0
s[17] = 0
s[18] = 0
s[19] = 1
s[20] = 1
s[21] = 0
s[22] = 1
s[23] = 0
s[24] = 0
s[25] = 0
s[26] = 0
s[27] = 0
Starting 3D- side chains

I:0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 
Io:1 3 5 7 9 11 13 15 17 19 21 23 25 27 
Ie:0 2 4 6 8 10 12 14 16 18 20 22 24 26 
Ho:1 9 13 15 17 21 23 25 27 
He:0 6 10 14 16 18 24 26 
Po:3 5 7 11 19 
Pe:2 4 8 12 20 22 
L:0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 
Le:0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50 52 54 56 58 60 62 64 66 68 70 72 74 76 78 80 82 84 86 88 90 92 94 96 98 100 102 104 106 108 110 112 114 116 118 120 122 124 
Lo:1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39 41 43 45 47 49 51 53 55 57 59 61 63 65 67 69 71 73 75 77 79 81 83 85 87 89 91 93 95 97 99 101 103 105 107 109 111 113 115 117 119 121 123 

neighbours

0: 3 :1 5 25 0 0 0 
1: 4 :2 0 6 26 0 0 
2: 4 :3 1 7 27 0 0 
3: 4 :4 2 8 28 0 0 
4: 3 :3 9 29 0 0 0 
5: 4 :6 10 0 30 0 0 
6: 5 :7 5 11 1 31 0 
7: 5 :8 6 12 2 32 0 
8: 5 :9 7 13 3 33 0 
9: 4 :8 14 4 34 0 0 
10: 4 :11 15 5 35 0 0 
11: 5 :12 10 16 6 36 0 
12: 5 :13 11 17 7 37 0 
13: 5 :14 12 18 8 38 0 
14: 4 :13 19 9 39 0 0 
15: 4 :16 20 10 40 0 0 
16: 5 :17 15 21 11 41 0 
17: 5 :18 16 22 12 42 0 
18: 5 :19 17 23 13 43 0 
19: 4 :18 24 14 44 0 0 
20: 3 :21 15 45 0 0 0 
21: 4 :22 20 16 46 0 0 
22: 4 :23 21 17 47 0 0 
23: 4 :24 22 18 48 0 0 
24: 3 :23 19 49 0 0 0 
25: 4 :26 30 50 0 0 0 
26: 5 :27 25 31 51 1 0 
27: 5 :28 26 32 52 2 0 
28: 5 :29 27 33 53 3 0 
29: 4 :28 34 54 4 0 0 
30: 5 :31 35 25 55 5 0 
31: 6 :32 30 36 26 56 6 
32: 6 :33 31 37 27 57 7 
33: 6 :34 32 38 28 58 8 
34: 5 :33 39 29 59 9 0 
35: 5 :36 40 30 60 10 0 
36: 6 :37 35 41 31 61 11 
37: 6 :38 36 42 32 62 12 
38: 6 :39 37 43 33 63 13 
39: 5 :38 44 34 64 14 0 
40: 5 :41 45 35 65 15 0 
41: 6 :42 40 46 36 66 16 
42: 6 :43 41 47 37 67 17 
43: 6 :44 42 48 38 68 18 
44: 5 :43 49 39 69 19 0 
45: 4 :46 40 70 20 0 0 
46: 5 :47 45 41 71 21 0 
47: 5 :48 46 42 72 22 0 
48: 5 :49 47 43 73 23 0 
49: 4 :48 44 74 24 0 0 
50: 4 :51 55 75 25 0 0 
51: 5 :52 50 56 76 26 0 
52: 5 :53 51 57 77 27 0 
53: 5 :54 52 58 78 28 0 
54: 4 :53 59 79 29 0 0 
55: 5 :56 60 50 80 30 0 
56: 6 :57 55 61 51 81 31 
57: 6 :58 56 62 52 82 32 
58: 6 :59 57 63 53 83 33 
59: 5 :58 64 54 84 34 0 
60: 5 :61 65 55 85 35 0 
61: 6 :62 60 66 56 86 36 
62: 6 :63 61 67 57 87 37 
63: 6 :64 62 68 58 88 38 
64: 5 :63 69 59 89 39 0 
65: 5 :66 70 60 90 40 0 
66: 6 :67 65 71 61 91 41 
67: 6 :68 66 72 62 92 42 
68: 6 :69 67 73 63 93 43 
69: 5 :68 74 64 94 44 0 
70: 4 :71 65 95 45 0 0 
71: 5 :72 70 66 96 46 0 
72: 5 :73 71 67 97 47 0 
73: 5 :74 72 68 98 48 0 
74: 4 :73 69 99 49 0 0 
75: 4 :76 80 100 50 0 0 
76: 5 :77 75 81 101 51 0 
77: 5 :78 76 82 102 52 0 
78: 5 :79 77 83 103 53 0 
79: 4 :78 84 104 54 0 0 
80: 5 :81 85 75 105 55 0 
81: 6 :82 80 86 76 106 56 
82: 6 :83 81 87 77 107 57 
83: 6 :84 82 88 78 108 58 
84: 5 :83 89 79 109 59 0 
85: 5 :86 90 80 110 60 0 
86: 6 :87 85 91 81 111 61 
87: 6 :88 86 92 82 112 62 
88: 6 :89 87 93 83 113 63 
89: 5 :88 94 84 114 64 0 
90: 5 :91 95 85 115 65 0 
91: 6 :92 90 96 86 116 66 
92: 6 :93 91 97 87 117 67 
93: 6 :94 92 98 88 118 68 
94: 5 :93 99 89 119 69 0 
95: 4 :96 90 120 70 0 0 
96: 5 :97 95 91 121 71 0 
97: 5 :98 96 92 122 72 0 
98: 5 :99 97 93 123 73 0 
99: 4 :98 94 124 74 0 0 
100: 3 :101 105 75 0 0 0 
101: 4 :102 100 106 76 0 0 
102: 4 :103 101 107 77 0 0 
103: 4 :104 102 108 78 0 0 
104: 3 :103 109 79 0 0 0 
105: 4 :106 110 100 80 0 0 
106: 5 :107 105 111 101 81 0 
107: 5 :108 106 112 102 82 0 
108: 5 :109 107 113 103 83 0 
109: 4 :108 114 104 84 0 0 
110: 4 :111 115 105 85 0 0 
111: 5 :112 110 116 106 86 0 
112: 5 :113 111 117 107 87 0 
113: 5 :114 112 118 108 88 0 
114: 4 :113 119 109 89 0 0 
115: 4 :116 120 110 90 0 0 
116: 5 :117 115 121 111 91 0 
117: 5 :118 116 122 112 92 0 
